epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.923,2.76058,3.8943,2.63436,0.00481,0.35,0.02828,0.00702,2.19218,4.33433,2.3469,0.00010002,0.00010002,0.00010002
2,117.318,2.33395,3.43583,2.28113,0.00536,0.425,0.06487,0.01279,1.89485,4.05568,2.23474,0.000205983,0.000205983,0.000205983
3,162.017,2.10553,2.70124,2.00926,0.00558,0.45,0.06483,0.01988,1.74352,3.79636,2.06388,0.000300393,0.000300393,0.000300393
4,247.652,1.89279,2.50669,1.85293,0.00569,0.425,0.16277,0.03442,1.77591,3.71433,2.05307,0.000383252,0.000383252,0.000383252
5,328.1,1.82567,2.2215,1.77134,0.00576,0.4,0.2731,0.11849,2.01485,3.42966,2.03475,0.000454558,0.000454558,0.000454558
6,396.859,1.79797,2.07925,1.69382,0.00641,0.425,0.18922,0.06114,1.95397,3.43714,1.93069,0.000514311,0.000514311,0.000514311
7,487.296,1.74082,1.95511,1.63679,1,0.09738,0.31588,0.12949,1.88129,3.04109,1.80148,0.000562512,0.000562512,0.000562512
8,562.489,1.69728,1.92882,1.59435,0.83469,0.10143,0.26467,0.08684,1.90845,3.12902,1.78812,0.000599161,0.000599161,0.000599161
9,646.536,1.5977,1.87643,1.50575,0.8454,0.125,0.27008,0.09574,2.05815,2.96013,1.96558,0.000624258,0.000624258,0.000624258
10,719.223,1.57325,1.7669,1.52696,0.91152,0.35,0.36234,0.13466,2.03326,2.72261,2.06669,0.000637803,0.000637803,0.000637803
11,792.994,1.57929,1.98077,1.59036,0.76948,0.25,0.24837,0.0719,1.92,3.08619,2.03295,0.000639795,0.000639795,0.000639795
12,860.651,1.48997,2.03805,1.48408,0.77316,0.25,0.3046,0.12442,1.93119,2.57662,1.79354,0.000630234,0.000630234,0.000630234
13,913.248,1.50588,1.92705,1.50639,0.83472,0.3,0.33462,0.14734,1.92451,2.39362,1.76106,0.000609122,0.000609122,0.000609122
14,1007.92,1.38943,1.71569,1.41167,0.87969,0.275,0.34532,0.14276,1.79406,2.42886,1.68064,0.000576457,0.000576457,0.000576457
15,1090.78,1.30983,1.68443,1.33872,0.90808,0.35,0.36157,0.1203,2.14699,2.49806,2.01032,0.000511769,0.000511769,0.000511769
16,1172.71,1.32339,1.66212,1.32964,0.90701,0.325,0.39463,0.13965,2.12134,2.25911,2.06997,0.000429253,0.000429253,0.000429253
17,1248.94,1.33954,1.5168,1.37001,0.96841,0.37093,0.41799,0.16747,2.02901,2.09225,1.98348,0.000346736,0.000346736,0.000346736
18,1330.71,1.26128,1.47198,1.36105,0.9232,0.41363,0.42233,0.1818,2.04765,1.99434,2.04141,0.00026422,0.00026422,0.00026422
19,1404.94,1.2215,1.42758,1.29973,0.94518,0.40627,0.4431,0.19072,1.99714,1.94677,2.00807,0.000181703,0.000181703,0.000181703
20,1473.83,1.112,1.39487,1.21604,0.96593,0.4,0.44681,0.19929,1.98327,1.85558,2.00245,9.91865e-05,9.91865e-05,9.91865e-05
