epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2618,2.76058,3.8943,2.63436,0.00481,0.35,0.02828,0.00702,2.19218,4.33433,2.3469,0.00010002,0.00010002,0.00010002
2,72.1825,2.33625,3.42769,2.28097,0.00529,0.425,0.06426,0.01836,1.90012,4.02517,2.22675,0.000212419,0.000212419,0.000212419
3,131.151,2.10503,2.69225,2.01477,0.00551,0.45,0.08755,0.02382,1.78763,3.78476,2.07737,0.000320197,0.000320197,0.000320197
4,181.912,1.90571,2.46639,1.85122,0.00564,0.425,0.15433,0.03314,1.8649,3.7448,2.22293,0.000423355,0.000423355,0.000423355
5,224.487,1.84156,2.18822,1.77221,0.89952,0.09952,0.23613,0.11058,1.96804,3.36439,2.00396,0.000521891,0.000521891,0.000521891
6,285.177,1.75226,2.01279,1.67122,0.61969,0.3,0.19853,0.08499,1.71321,3.30879,1.71552,0.000615806,0.000615806,0.000615806
