epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3969.21,1.0157,0.82116,1.10388,0.9683,0.36965,0.42672,0.19052,1.88222,1.43965,1.90908,0.000990365,0.000990365,0.000990365
43,4053.15,1.03183,0.85198,1.16724,0.93486,0.425,0.43199,0.16925,2.07423,1.40643,2.12525,0.000973861,0.000973861,0.000973861
44,4139.82,0.92422,0.78215,1.11852,0.85069,0.425,0.40633,0.16843,2.1144,1.41996,2.10619,0.000957358,0.000957358,0.000957358
45,4222.99,0.92185,0.76575,1.08973,0.84829,0.40184,0.42037,0.16672,2.03814,1.37792,2.00762,0.000940855,0.000940855,0.000940855
46,4303.14,0.93843,0.78192,1.11063,0.91188,0.35,0.41639,0.15723,2.25364,1.49971,2.19703,0.000924352,0.000924352,0.000924352
47,4383.89,0.93669,0.76327,1.11262,0.92429,0.35,0.39524,0.16825,2.13501,1.48188,2.12123,0.000907848,0.000907848,0.000907848
48,4454.96,0.94132,0.7854,1.0839,0.926,0.43199,0.43348,0.17006,2.03439,1.43865,2.0026,0.000891345,0.000891345,0.000891345
49,4509.14,0.95483,0.75291,1.09306,0.88458,0.41674,0.41746,0.19036,2.02499,1.47529,2.09729,0.000874842,0.000874842,0.000874842
50,4563.15,0.87376,0.75904,1.08908,0.81162,0.375,0.37988,0.16618,2.13288,1.50919,2.21818,0.000858338,0.000858338,0.000858338
51,4617.72,0.88761,0.73518,1.06822,0.85209,0.425,0.39702,0.17459,2.14513,1.40266,2.11123,0.000841835,0.000841835,0.000841835
52,5382.17,0.88149,0.70092,1.05752,0.92504,0.3,0.37714,0.17675,1.97783,1.50805,1.97691,0.000825332,0.000825332,0.000825332
53,5412.6,0.85385,0.6838,1.04904,0.99217,0.35,0.41161,0.18616,1.8886,1.50011,1.93627,0.000808828,0.000808828,0.000808828
54,5437.52,0.91003,0.71206,1.09613,0.44028,0.36892,0.40431,0.18201,1.93147,1.50003,1.94008,0.000792325,0.000792325,0.000792325
55,5470.8,0.86724,0.70359,1.05467,0.95724,0.325,0.39956,0.18037,1.9751,1.52695,1.86992,0.000775822,0.000775822,0.000775822
