epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.5968,2.76058,3.8943,2.63436,0.00481,0.35,0.02828,0.00702,2.19218,4.33433,2.3469,0.00010002,0.00010002,0.00010002
2,108.115,2.33395,3.43583,2.28113,0.00536,0.425,0.06487,0.01279,1.89485,4.05568,2.23474,0.000205983,0.000205983,0.000205983
3,163.909,2.10553,2.70124,2.00926,0.00558,0.45,0.06483,0.01988,1.74352,3.79636,2.06388,0.000300393,0.000300393,0.000300393
4,216.974,1.89279,2.50669,1.85293,0.00569,0.425,0.16277,0.03442,1.77591,3.71433,2.05307,0.000383252,0.000383252,0.000383252
5,265.371,1.82567,2.2215,1.77134,0.00576,0.4,0.2731,0.11849,2.01485,3.42966,2.03475,0.000454558,0.000454558,0.000454558
6,313.199,1.79797,2.07925,1.69382,0.00641,0.425,0.18922,0.06114,1.95397,3.43714,1.93069,0.000514311,0.000514311,0.000514311
7,351.549,1.74082,1.95511,1.63679,1,0.09738,0.31588,0.12949,1.88129,3.04109,1.80148,0.000562512,0.000562512,0.000562512
